award_amount,award_amount_usd,country,created_date,currency,description,description_en,description_raw,end_date,end_year,funded_date,institutation,keyword,keyword_en,project_id,project_id_original,project_term,project_url,researcher,researcher_en,source,start_date,start_year,title,title_en,updated_date
,,,,,,,,,,,Tallinn University of Technology,IUT19-18,,,,,,Timmusk Tõnis,,,,,Regulation of gene expression and signaling in nervous system health and disease,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-2,,,,,,Fridolin Ivo,,,,,Biooptical and bioelectrical signals in Biomedical Engineering,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-22,,,,,,Vaikmäe Rein,,,,,"Groundwater flow history, global paleoclimate signals and anthropogenic influence in the Baltic Artesian Basin: a synthesis of numerical models and hydrogeochemical data",,
,,,,,,,,,,,Tallinn University of Technology,IUT19-27,,,,,,Paalme Toomas,,,,,Systems biology of food technologies and science,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-28,,,,,,Grossberg Maarja,,,,,New materials and technologies for solar energetics,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-29,,,,,,Kübarsepp Jakob,,,,,Multi-scale structured ceramic-based composites for extreme applications,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-3,,,,,,Truve Erkki,,,,,Molecular plant-microbe interactions,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-32,,,,,,Lopp Margus,,,,,Directed asymmetric catalytic synthesis: an integrated approach,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-4,,,,,,Krunks Malle,,,,,Thin films and nanomaterials by wet-chemical methods for next-generation photovoltaics,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-6,,,,,,Lips Urmas,,,,,Multi-scale physical processes controlling the biogeochemical signal dynamics in the stratified Baltic Sea,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-8,,,,,,Palumaa Peep,,,,,Structural and medical metalloproteomics,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-9,,,,,,Samel Nigulas,,,,,Structural and regulatory aspects of lipid and lipoprotein metabolism,,
,,,,,,,,,,,Tartu Observatory,IUT26-2,,,,,,Hütsi Gert,,,,,Galaxy evolution in the hierarchical Universe,,
,,,,,,,,,,,Under and Tuglas Literature Centre,IUT28-1,,,,,,Undusk Jaan,,,,,Entangled Literatures: Discursive History of Literary Culture in Estonia,,
,,,,,,,,,,,University of Tartu,IUT20-1,,,,,,Talvet Jüri,,,,,Estonian Literature in the Paradigm of Comparative Literary Research,,
,,,,,,,,,,,University of Tartu,IUT20-11,,,,,,Hõrrak Urmas,,,,,Airborne nanoparticles and their role in meteorological processes,,
,,,,,,,,,,,University of Tartu,IUT20-13,,,,,,Lust Enn,,,,,Functional Micro/Mesoporous Nanomaterials for Novel Energy Conversion and Storage Systems,,
,,,,,,,,,,,University of Tartu,IUT20-14,,,,,,Leito Ivo,,,,,The Chemistry of Superacids and Superbases and its Hi-Tech Applications,,
,,,,,,,,,,,University of Tartu,IUT20-15,,,,,,Burk Peeter,,,,,Complex Formation and Molecular Recognition in Chemistry: Increasing the Effectiveness and Selectivity of Important Processes,,
,,,,,,,,,,,University of Tartu,IUT20-16,,,,,,Tammeveski Kaido,,,,,Investigation of Processes in Microheterogeneous and Nanoscale Systems and Related Technological Applications,,
,,,,,,,,,,,University of Tartu,IUT20-17,,,,,,Rinken Ago,,,,,Novel Optical Biosensing Systems and Their Biomedical Applications,,
,,,,,,,,,,,University of Tartu,IUT20-19,,,,,,Kivisaar Maia,,,,,Molecular Mechanisms of Adaptation of Bacteria to Environmental Stress,,
,,,,,,,,,,,University of Tartu,IUT20-21,,,,,,Remme Jaanus,,,,,Biosynthesis of Macromolecules and Maintenance of their Synthetic Activity,,
,,,,,,,,,,,University of Tartu,IUT20-23,,,,,,Kristjuhan Arnold,,,,,Role of chromatin in regulation of DNA replication and transcription,,
,,,,,,,,,,,University of Tartu,IUT20-24,,,,,,Aabloo Alvo,,,,,Stimuli-Responsive Smart Polymer Composite Materials and their Applications in Lab-on chip Devices and in Robotics,,
,,,,,,,,,,,University of Tartu,IUT20-26,,,,,,Langel Ülo,,,,,Trans-barrier targeting,,
,,,,,,,,,,,University of Tartu,IUT20-27,,,,,,Merits Andres,,,,,Interaction between virus and host: expanding knowledge for the development of biomedical tools,,
,,,,,,,,,,,University of Tartu,IUT20-28,,,,,,Zobel Martin,,,,,The role of arbuscular mycorrhiza (AM) in shaping plant community patterns and plant interactions,,
,,,,,,,,,,,University of Tartu,IUT20-29,,,,,,Pärtel Meelis,,,,,"Dark diversity: taxonomic, phylogenetic, functional and genetic levels in dynamic plant communities",,
,,,,,,,,,,,University of Tartu,IUT20-3,,,,,,Ehala Martin,,,,,Sustainability of Estonian in the Era of Globalisation (SEEG),,
,,,,,,,,,,,University of Tartu,IUT20-30,,,,,,Kõljalg Urmas,,,,,Big data – integrated study of fungal species and their interactions,,
,,,,,,,,,,,University of Tartu,IUT20-31,,,,,,Zobel Kristjan,,,,,The role of plant-plant interactions as drivers of evolutionary change in herbaceous plants,,
,,,,,,,,,,,University of Tartu,IUT20-32,,,,,,Saarma Urmas,,,,,Evolutionary and contemporary processes in populations of mammals and their pathogens,,
,,,,,,,,,,,University of Tartu,IUT20-33,,,,,,Tammaru Toomas,,,,,Comparative approaches to evolutionary ecology of insects: from phylogenies to applied population dynamics,,
,,,,,,,,,,,University of Tartu,IUT20-34,,,,,,Meidla Tõnu,,,,,"The Phanerozoic journey of Baltica: sedimentary, geochemical and biotic signatures of changing environment – PalaeoBaltica",,
,,,,,,,,,,,University of Tartu,IUT20-38,,,,,,Kalmus Veronika; Vihalemm Triin,,,,,Acceleration of Social and Personal Time in the Information Society: Practices and Effects of Mediated Communication,,
,,,,,,,,,,,University of Tartu,IUT20-39,,,,,,Berg Eiki,,,,,"Political Community in Flux: Identity, Sovereignty and Democracy in a Transforming World",,
,,,,,,,,,,,University of Tartu,IUT20-40,,,,,,Harro Jaanus,,,,,Sources of Resilience: Neurobiology and Development of Cognitive and Affective Processes Crucial for Coping Styles,,
,,,,,,,,,,,University of Tartu,IUT20-41,,,,,,Vasar Eero,,,,,IgLON family of cell adhesion molecules as the potential targets for neuropsychiatric disorders,,
,,,,,,,,,,,University of Tartu,IUT20-42,,,,,,Zilmer Mihkel,,,,,Metabolomical and arterial wall phenotyping (systems biology approach-based and functional-structural biomarkers for development of novel diagnostic platforms of chronic diseases),,
,,,,,,,,,,,University of Tartu,IUT20-43,,,,,,Uibo Raivo,,,,,Immune mechanisms in diabetes,,
,,,,,,,,,,,University of Tartu,IUT20-45,,,,,,Maron Eduard,,,,,"Neurobiological, genetic and psychological markers of the treatment response in schizophrenia and mood disorders",,
,,,,,,,,,,,University of Tartu,IUT20-46,,,,,,Kõks Sulev,,,,,Translational studies on bone and muscle pathologies,,
,,,,,,,,,,,University of Tartu,IUT20-49,,,,,,Varblane Urmas,,,,,Structural Change as the Factor of Productivity Growth in the Case of Catching up Economies,,
,,,,,,,,,,,University of Tartu,IUT20-5,,,,,,Sutrop Margit,,,,,Disagreements: Philosophical Analysis,,
,,,,,,,,,,,University of Tartu,IUT20-50,,,,,,Mälksoo Lauri,,,,,"The Evolution of Human Rights Law and Discourse in the Russian Federation, and its Interaction with Human Rights in Europe and the World",,
,,,,,,,,,,,University of Tartu,IUT20-55,,,,,,Dumas Marlon,,,,,Data-Driven Management of Software and Business Processes,,
,,,,,,,,,,,University of Tartu,IUT20-56,,,,,,Kaalep Heiki-Jaan,,,,,Computational models for Estonian,,
,,,,,,,,,,,University of Tartu,IUT20-57,,,,,,Oja Eve,,,,,"Structural Problems in Analysis, Algebra, and Geometry, with Applications to Numerical Analysis",,
,,,,,,,,,,,University of Tartu,IUT20-58,,,,,,Jürimäe Jaak,,,,,Physical performance and health: adaptational and age-related aspects,,
,,,,,,,,,,,University of Tartu,IUT20-60,,,,,,Metspalu Andres,,,,,Omics for health: an integrated approach to understand and predict human disease,,
,,,,,,,,,,,University of Tartu,IUT20-7,,,,,,Lang Valter,,,,,"Estonia in Circum-Baltic space: archaeology of economic, social, and cultural processes",,
,,,,,,,,,,,Estonian Biocentre,IUT24-6,,,,,,Parik Jüri,,,,,Estonian Centre for Genomics,,
,,,,,,,,,,,University of Tartu,IUT20-52,,,,,,Ainsaar Leho,,,,,Estonian Environmental Observatory,,
,,,,,,,,,,,University of Tartu,IUT20-53,,,,,,Kõljalg Urmas,,,,,Natural History Archives and Information network,,
,,,,,,,,,,,University of Tartu,IUT20-54,,,,,,Aarik Jaan,,,,,Namaterials – research and applications,,
,,,,,,,,,,,University of Tartu,IUT20-62,,,,,,Lembinen Liisi,,,,,Estonian e-resources and collection preservation,,
,,,,,,,,,,,University of Tartu,IUT20-63,,,,,,Anton Lauri,,,,,Estonian Scientific Computing Infrastructure,,
,,,,,,,,,,,University of Tartu,IUT20-64,,,,,,Plaas Mario,,,,,National Centre for Translational and Clinical Research,,
,,,,,,,,,,,University of Tartu,IUT20-65,,,,,,Vider Kadri,,,,,Center of Estonian Language Resources,,
,,,,,,,,,,,Estonian Academy of Music and Theatre,,,,,,,Ross Jaan,,,,,Performative aspects of music,,
,,,,,,,,,,,Estonian University of Life Sciences,,,,,,,Gross Riho,,,,,"Population genetic, genomic and transcriptomic approaches in studies of genetic diversity and local adaptations in fish and farm animals",,
,,,,,,,,,,,Estonian University of Life Sciences,,,,,,,Niinemets Ülo,,,,,Plant stress in changing climates: from stress responses to acclimation and adaptation,,
,,,,,,,,,,,Estonian University of Life Sciences,,,,,,,Valdmann Andres,,,,,Fertility and health in dairy cattle,,
,,,,,,,,,,,National Institute for Health Development,,,,,,,Leinsalu Mall,,,,,Societal and individual determinants of population health: a register-based approach,,
,,,,,,,,,,,Tallinn University,,,,,,,Palang Hannes,,,,,Culturescapes in transformation: towards an integrated theory of meaning making,,
,,,,,,,,,,,Tallinn University,,,,,,,Toomela Aaro,,,,,Academic and personal development of an individual in the system of formal education,,
,,,,,,,,,,,Tallinn University of Technology,,,,,,,Kalamees Targo,,,,,Nearly-zero energy solutions and their implementation on deep renovation of buildings,,
,,,,,,,,,,,Tallinn University of Technology,,,,,,,Trapido Marina,,,,,Chemical engineering approach to removal of priority pollutants and emerging micropollutants from water/wastewater and soil: implementation and optimization of advanced oxidation technologies,,
,,,,,,,,,,,Tallinn University of Technology,,,,,,,Veski Siim,,,,,Postglacial paleoecology and paleoclimate in the Baltic area,,
,,,,,,,,,,,University of Tartu,,,,,,,Ahas Rein,,,,,Spatial Population Mobility and Geographical Changes in Urban Regions,,
,,,,,,,,,,,University of Tartu,,,,,,,Allik Jüri,,,,,Psychological Mechanisms of Cognition and Personality Processes,,
,,,,,,,,,,,University of Tartu,,,,,,,Asser Toomas,,,,,Novel diagnostic markers of nervous system diseases and factors predicting treatment outcome,,
,,,,,,,,,,,University of Tartu,,,,,,,Eha Jaan,,,,,"Impact of the changes in the arterial profile (biochemical, functional, and structural) on the development of organ damage. New perspectives for treatment and prevention of arterial damage, and their assessment.",,
,,,,,,,,,,,University of Tartu,,,,,,,Freiberg Arvi,,,,,Quantum excitations in biosystems over broad temperature and pressure range studied by optical spectroscopy and neutron scattering,,
,,,,,,,,,,,University of Tartu,,,,,,,Hižnjakov Vladimir,,,,,Nonlinear theory of solids and fundamental fields,,
,,,,,,,,,,,University of Tartu,,,,,,,Kaasik Allen,,,,,"Mitochondrial biogenesis, dynamics and mitophagy in neurodegenerative diseases",,
,,,,,,,,,,,University of Tartu,,,,,,,Kotta Jonne,,,,,Coastal ecosystems and rapid change: Understanding and projecting effects of multiple stressors on marine biodiversity and functioning,,
,,,,,,,,,,,University of Tartu,,,,,,,Kull Kalevi,,,,,Semiotic modelling of self-description mechanisms: Theory and applications,,
,,,,,,,,,,,University of Tartu,,,,,,,Lember Margus,,,,,"Associations between chronic diseases and ageing, bone, fat, muscle changes and impact of endocrine factors",,
,,,,,,,,,,,University of Tartu,,,,,,,Loog Mart,,,,,Molecular switches in eukaryotic systems,,
,,,,,,,,,,,University of Tartu,,,,,,,Luštšik Aleksandr,,,,,Transformation of electronic excitations into luminescence and radiation defects in wide-gap functional materials,,
,,,,,,,,,,,University of Tartu,,,,,,,Mander Ülo,,,,,Global Warming and Material Cycling in Landscapes. Global Warming- and Human-Induced Changes of Landscape Structure and Functions: Modelling and Ecotechnological Regulation of Material Fluxes in Landscapes,,
,,,,,,,,,,,University of Tartu,,,,,,,Nõmmiste Ergo,,,,,Structure sensitive interaction mechanisms in functional materials at nanoscale,,
,,,,,,,,,,,University of Tartu,,,,,,,Pajusalu Karl,,,,,Prosodic structure and language contact in the Finno-Ugric languages,,
,,,,,,,,,,,University of Tartu,,,,,,,Peterson Pärt,,,,,The mechanisms of immune tolerance,,
,,,,,,,,,,,University of Tartu,,,,,,,Sammelselg Väino,,,,,Thin-film structures for nanoelectronic applications and functional coatings,,
,,,,,,,,,,,University of Tartu,,,,,,,Žarkovski Aleksander,,,,,Neural cell adhesion molecules as potential therapeutic targets for the correction of dysfunctional brain plasticity,,
,,,,,,,,,,,University of Tartu,,,,,,,Tenson Tanel,,,,,Mechanisms of antibiotic action and antibiotic resistance,,
,,,,,,,,,,,University of Tartu,,,,,,,Unruh Dominique Peer Ghislain,,,,,Provably secure and verifiable systems,,
,,,,,,,,,,,University of Tartu,,,,,,,Valk Ülo,,,,,"Tradition, creativity and society: minorities and alternative discourses",,
,,,,,,,,,,,University of Tartu,"LT, KE",,MJD1,MJD1,,,Vincent Perrier,,,,,Biodiversity changes across the Ordovician and Silurian environmental crises,,
,,,,,,,,,,,Tallinn University of Technology,KE,,MJD2,MJD2,,,Katja Gehenn,,,,,New MS-based approaches for studies of conformation and aggregation of amyloidogenic peptides,,
,,,,,,,,,,,Tallinn University,ÜK,,MJD3,MJD3,,,Hugo Reinert,,,,,Sacred Others in a Changing Landscape – Environmental Change and Animal Practice in the Norwegian Arctic,,
,,,,,,,,,,,Tallinn University of Technology,"KE, LT",,MJD4,MJD4,,,Triin Reitalu,,,,,Unraveling the history of plant diversity patterns by means of pollen analyses: an interdisciplinary approach,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD5,MJD5,,,Athanasios Giannitsis,,,,,Development of a Microfluidic lab-on-chip for bioimpedance measurements on droplet-based bioreactors,,
,,,,,,,,,,,Tallinn University,KE,,MJD7,MJD7,,,Sandra Zetterström Fernaeus,,,,,Studies of the neurotoxic mechanisms of mutated versions of APP related to Familial Alzheimer’s Disease,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD10,MJD10,,,Anna Volkova,,,,,Small-scale cogeneration plants in Estonian towns,,
,,,,,,,,,,,University of Tartu,KE,,MJD12,MJD12,,,Mats Hansen,,,,,Design and mitochondrial transport of novel antioxidant molecules,,
,,,,,,,,,,,Estonian University of Life Sciences,KE,,MJD14,MJD14,,,Astrid Kännaste,,,,,Plant defense reaction triggered by abiotic and chemical stressors,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD17,MJD17,,,Andres Marandi,,,,,Geochemical evolution of groundwater in Cambrian-Vendian aquifer system in Estonia,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD18,MJD18,,,Ulrike Rohn,,,,,Economic and cultural implications of Social Network Sites – A case study of Estonia and Germany,,
,,,,,,,,,,,University of Tartu,LT,,MJD22,MJD22,,,Toomas Kirt,,,,,Computational Modelling of the Binding Problem,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD23,MJD23,,,Mart Anton,,,,,Mechanical design and locomotion of an underwater vehicle,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD25,MJD25,,,Matthieu Chillaud,,,,,"Controlling Frontiers and Mapping the field of European ‘Freedom, Justice and Security’",,
,,,,,,,,,,,Tallinn University,ÜK,,MJD28,MJD28,,,Sonia Sousa,,,,,Activity patterns in informal virtual learning communities,,
,,,,,,,,,,,Tallinn University of Technology,KE,,MJD30,MJD30,,,Hena Ramay,,,,,Systematic examination of arrhythmogenic calcium release in cardiac myocytes,,
,,,,,,,,,,,Tallinn University,"KE, LT",,MJD31,MJD31,,,Eve Avel,,,,,Testate amoebae and water-table level fluctuation in NE-Estonian bogs,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD32,MJD32,,,Bulent Cavas,,,,,Modelling Teacher Needs for Competence and Confidence in conducting Inquiry Based Science Activities,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD34,MJD34,,,Minkee Kim,,,,,"How industrial site visits influence students’ career aspiration in S&T, scientific literacy, and relevance of science education: A structural equation model of the ew aims of science education",,
,,,,,,,,,,,University of Tartu,TU,,MJD35,MJD35,,,Michal Cagalinec,,,,,Mitochondrial Dynamics in Models of Neurodegenerative Diseases,,
,,,,,,,,,,,Tallinn University of Technology,KE,,MJD37,MJD37,,,Tiina Kirsipuu,,,,,High-throughput screening of inhibitors of Aβ peptide aggregation,,
,,,,,,,,,,,University of Tartu,LT,,MJD38,MJD38,,,Satish Narayana Srirama,,,,,Scientific Computing on the Cloud,,
,,,,,,,,,,,University of Tartu,KE,,MJD39,MJD39,,,Yanina Timasheva,,,,,Genetic variation in human growth hormone / chorionic somatomammotropin genes and susceptibility to cardiovascular disease,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD42,MJD42,,,Janis Zakis,,,,,Research and Development of Bi-Directional Power Converters for Energy Storage Applications,,
,,,,,,,,,,,Tallinn University of Technology,ÜK,,MJD43,MJD43,,,Ringa Raudla,,,,,Evolution of Fiscal Governance Institutions in Estonia from 1994 to 2009,,
,,,,,,,,,,,University of Tartu,TU,,MJD44,MJD44,,,Rene Mõttus,,,,,Predictors and mechanisms of successful cognitive ageing,,
,,,,,,,,,,,University of Tartu,KE,,MJD47,MJD47,,,Jodi Price,,,,,The generality of assembly rules in herbaceous vegetation: a macroecological approach,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD48,MJD48,,,Liisi Keedus,,,,,"The Making of the Scientific Imagination: Debates on American Political Science, 1945-1965",,
,,,,,,,,,,,Tallinn University of Technology,KE,,MJD51,MJD51,,,Anu Kisand,,,,,Application of sediment pore water fluorescence index in paleolimnological studies of a large shallow lake,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,LT,,MJD52,MJD52,,,Andi Hektor,,,,,Data mining in the CMS experiment at CERN,,
,,,,,,,,,,,University of Tartu,KE,,MJD53,MJD53,,,Meelis Kadaja,,,,,Deciphering the mechanisms governing stem cell maintenance in skin,,
,,,,,,,,,,,University of Tartu,LT,,MJD54,MJD54,,,Chong-Geng Ma,,,,,Ab initio and semi-empirical modelling of optical properties of materials doped with rare-earth and transition metal ions,,
,,,,,,,,,,,University of Tartu,KE,,MJD56,MJD56,,,Malgorzata E. Arlet,,,,,"Socio-ecological determinants of demographic rates in a group-living, free-ranging primate",,
,,,,,,,,,,,Tallinn University of Technology,KE,,MJD57,MJD57,,,Jaana Salujõe,,,,,Do cladoceran remains in lake sediment record climate and environmental change?,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD60,MJD60,,,Maria Mälksoo,,,,,"The Power Politics of Memory in Eastern Europe: Securitising the Legacy of Communism in the Baltic states, Poland, Ukraine, and Russia",,
,,,,,,,,,,,Tallinn University of Technology,KE,,MJD62,MJD62,,,Letizia Tedesco,,,,,The role and contribution of sea ice biogeochemistry to the Baltic Sea ecosystem state: a modelling study,,
,,,,,,,,,,,University of Tartu,KE,,MJD64,MJD64,,,Dana-Maria Copolovici,,,,,"Design, Synthesis and Applications of New Chimeric CPPs for Intracellular Delivery of Nucleic Acids and Drugs",,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,LT,,MJD65,MJD65,,,Mukesh Chandra,,,,,Magnetic studies on doped dielectric oxides (ZrO2 and TiO2) for spintronic applications,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,"KE, TU",,MJD67,MJD67,,,Angela Ivask,,,,,High throughput bacterial screening for the characterization of toxicity of nanosized particles and materials,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD70,MJD70,,,Terje Loogus,,,,,Translatability of culture – an integrated semiotic-functional approach,,
,,,,,,,,,,,University of Tartu,KE,,MJD71,MJD71,,,Lili Milani,,,,,In-depth genetic and epigenetic analysis of the cytochrome P450 system by next-generation sequencing,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD72,MJD72,,,Merilin Miljan,,,,,Case-marking in Estonian: rethinking case-marking,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD77,MJD77,,,Mikko Leinonen,,,,,Rudolf Carnap’s logical and ontological pluralism – a case study,,
,,,,,,,,,,,Tallinn University of Technology,KE,,MJD80,MJD80,,,Jaanus Karo,,,,,The theoretical study of mitochondrial energetic metabolism,,
,,,,,,,,,,,Tallinn University,ÜK,,MJD84,MJD84,,,Igor Pilshchikov,,,,,"Juri Lotman’s Structural Methods and Semiotics of Culture on a Global Scale: Their Historical Background, International Context and Recent Developments",,
,,,,,,,,,,,University of Tartu,KE,,MJD93,MJD93,,,Margit Kõiv,,,,,Treatment of fish farm sludge using sludge drying reed beds and phosphorus removal from percolate using reactive filter media,,
,,,,,,,,,,,Estonian University of Life Sciences,KE,,MJD94,MJD94,,,Kajar Köster,,,,,Carbon turnover on disturbed areas,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD96,MJD96,,,Anastassia Zabrodskaja,,,,,Transfer of morphosyntactic patterns in the Estonian-Russian contact setting,,
,,,,,,,,,,,University of Tartu,KE,,MJD99,MJD99,,,Gemma Atkinson,,,,,Origin and functional evolution of ribosome-associated environmental response enzymes,,
,,,,,,,,,,,University of Tartu,KE,,MJD103,MJD103,,,Liisa Metsamaa,,,,,Develop remote sensing tools for a monitoring and spatial planning of shallow coastal water environments,,
,,,,,,,,,,,Tallinn University,ÜK,,MJD104,MJD104,,,Annekatrin Kaivapalu,,,,,Symmetry of the cross-linguistic influence in the acquisition of closely related languages,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD105,MJD105,,,Anu Ploom,,,,,Structure-reactivity relationships in reactions at atoms of the third period elements,,
,,,,,,,,,,,Tallinn University of Technology,"LT, KE",,MJD107,MJD107,,,Hendrik Voll,,,,,Investigation of Grey Water Irrigation and Energy Demand for Greenroofs,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD108,MJD108,,,Katre Talviste,,,,,Translations of French Poetry into Estonian: their Creation and Functions in the Context of Estonian Literature,,
,,,,,,,,,,,Tallinn University of Technology,"LT, KE",,MJD110,MJD110,,,Kristjan Tabri,,,,,Coupled approach for numerical modelling of accidents in maritime transportation,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD111,MJD111,,,Francesco Orsi,,,,,"Understanding Normative Cognition: Autonomy, Unity and Generality",,
,,,,,,,,,,,University of Tartu,KE,,MJD113,MJD113,,,Tsipe Aavik,,,,,Assessing the effectiveness of connectivity measures on gene flow and genetic diversity of wildflowers in agricultural landscapes – a landscape genetic approach,,
,,,,,,,,,,,University of Tartu,KE,,MJD115,MJD115,,,Eve Kaurilind,,,,,Regulatory mechanisms of plant abiotic stress responses,,
,,,,,,,,,,,University of Tartu,TU,,MJD120,MJD120,,,Vinay Choubey,,,,,Multiple Roles Of Alpha-Synuclein In Origin of Mitochondrial Dysfunction And Neuronal Death,,
,,,,,,,,,,,Tallinn University of Technology,KE,,MJD121,MJD121,,,Marina Toompuu,,,,,Studies on function of human RNase L inhibitor (RLI),,
,,,,,,,,,,,Estonian University of Life Sciences,KE,,MJD122,MJD122,,,Lea Hallik,,,,,Influence of multiple co-occurring environmental stresses and the combination of structural and physiological traits on plant response to light availability,,
,,,,,,,,,,,Estonian Literary Museum,ÜK,,MJD129,MJD129,,,Jaak Tomberg,,,,,On the Contemporary Convergence of Realism and Science Fiction,,
,,,,,,,,,,,Estonian University of Life Sciences,TU,,MJD134,MJD134,,,Triin Hallap,,,,,Effect of colloid formulation Androcoll-B on bull semen survival and quality,,
,,,,,,,,,,,Estonian University of Life Sciences,KE,,MJD135,MJD135,,,Lorenzo Pecoraro,,,,,Mycorrhizal strategies in green orchids: diversity and functional aspects,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,LT,,MJD140,MJD140,,,Kristjan Kannike,,,,,Properties of Dark Matter,,
,,,,,,,,,,,University of Tartu,"KE, LT",,MJD144,MJD144,,,Lauri Peil,,,,,Ribosome dynamics analysed by advanced mass spectrometry,,
,,,,,,,,,,,University of Tartu,"ÜK, KE",,MJD146,MJD146,,,Jakub Novak,,,,,Individual daily mobility and transforming spatial structure of post-socialist metropolitan regions,,
,,,,,,,,,,,University of Tartu,KE,,MJD147,MJD147,,,Toomas Silla,,,,,New Mutations in Old Genes: Discovering Cancer-Related Variations in Non-Coding Ultra-Conserved Genes,,
,,,,,,,,,,,Estonian University of Life Sciences,KE,,MJD161,MJD161,,,Triinu Remmel,,,,,Trade-offs in plant defense against herbivores,,
,,,,,,,,,,,University of Tartu,TU,,MJD164,MJD164,,,Mithu Guha,,,,,What Regulates the Autoimmune Regulator?,,
,,,,,,,,,,,University of Tartu,LT,,MJD166,MJD166,,,Eduard Aleksanyan,,,,,Development of novel scintillators based on thin nanocrystalline films,,
,,,,,,,,,,,University of Tartu,LT,,MJD167,MJD167,,,Alexandr Popov,,,,,Rare-earth ions doped nanoparticles for fluorescent medical diagnostics,,
,,,,,,,,,,,University of Tartu,KE,,MJD173,MJD173,,,Helen Tammert,,,,,The distribution and biodiversity of Flavobacterium genus in the salinity gradient and different productivity regions,,
,,,,,,,,,,,University of Tartu,LT,,MJD198,MJD198,,,Nasir Sohail,,,,,Study of the flatness (homological) properties of S-posets in connection with the amalgamation of partially ordered monoids,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD201,MJD201,,,Alar Just,,,,,Structural fire performance of timber structures,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD213,MJD213,,,Naidu Revathi,,,,,Cu2ZnSn(SSe)4 thin films for solar cells,,
,,,,,,,,,,,University of Tartu,LT,,MJD219,MJD219,,,Sergey Omelkov,,,,,Electronic excitations and their dynamics in functional fluoride and oxide based materials,,
,,,,,,,,,,,University of Tartu,TU,,MJD228,MJD228,,,Fernando Rodriguez-Castaneda,,,,,Identification of the mammalian chromatin host factor involved in the segregation of the human papillomavirus genome,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD235,MJD235,,,Sheila Gamut Oyao,,,,,Promoting multi-faceted approach to teaching and assessment for interdisciplinary science education incorporating cross-curricular topics,,
,,,,,,,,,,,University of Tartu,"KE, TU",,MJD236,MJD236,,,Katrin Kepp,,,,,Analysis of genetic variation in p65 binding sites in a rheumatoid arthritis cohort of European descent,,
,,,,,,,,,,,University of Tartu,LT,,MJD239,MJD239,,,Vimala Huchaiah,,,,,"Development of research and diagnostic toolsa for ZNT8, a new autoantigenic target in type I diabetes",,
,,,,,,,,,,,University of Tartu,LT,,MJD241,MJD241,,,Giuseppe Buono,,,,,Paleoecological and Isotopic investigation on the Ordovician-Silurian of Estonia: a key to understand the dynamic of ecosystems,,
,,,,,,,,,,,University of Tartu,KE,,MJD242,MJD242,,,Imre Mäger,,,,,Targeted exosomes for the delivery of splice-switching oligonucleotides (SSOs) to muscle and brain,,
,,,,,,,,,,,University of Tartu,LT,,MJD247,MJD247,,,Reyna María Pérez Tiscareño,,,,,On Gelfand Mazur algebras,,
,,,,,,,,,,,University of Tartu,TU,,MJD252,MJD252,,,Elin Org,,,,,The role of TMAO in cardiovascular diseases,,
,,,,,,,,,,,University of Tartu,KE,,MJD257,MJD257,,,Arvo Tullus,,,,,Growth dynamics of deciduous trees under changing climatic conditions: physiological causes and implications for forest management,,
,,,,,,,,,,,University of Tartu,KE,,MJD258,MJD258,,,Virve Sõber,,,,,The role of floral herbivores in plant-pollinator interactions: a population level approach,,
